Date;Repos;Le plus haut
23 Jan.;48 bpm;159 bpm
22 Jan.;50 bpm;176 bpm
21 Jan.;52 bpm;165 bpm
20 Jan.;47 bpm;190 bpm
19 Jan.;47 bpm;149 bpm
18 Jan.;47 bpm;166 bpm
17 Jan.;46 bpm;186 bpm
16 Jan.;47 bpm;145 bpm
15 Jan.;64 bpm;151 bpm
14 Jan.;51 bpm;158 bpm
13 Jan.;49 bpm;193 bpm
12 Jan.;51 bpm;162 bpm
11 Jan.;49 bpm;150 bpm
10 Jan.;46 bpm;190 bpm
9 Jan.;46 bpm;145 bpm
8 Jan.;47 bpm;102 bpm
7 Jan.;53 bpm;121 bpm
6 Jan.;49 bpm;188 bpm
5 Jan.;47 bpm;152 bpm
4 Jan.;46 bpm;151 bpm
3 Jan.;46 bpm;188 bpm
2 Jan.;47 bpm;153 bpm
1 Jan.;60 bpm;135 bpm
31 Déc.;56 bpm;121 bpm
30 Déc.;55 bpm;101 bpm
29 Déc.;58 bpm;100 bpm
28 Déc.;60 bpm;112 bpm
27 Déc.;58 bpm;114 bpm
26 Déc.;51 bpm;172 bpm
25 Déc.;60 bpm;160 bpm
24 Déc.;57 bpm;141 bpm
23 Déc.;60 bpm;118 bpm
22 Déc.;58 bpm;127 bpm
21 Déc.;67 bpm;150 bpm
20 Déc.;47 bpm;168 bpm
19 Déc.;54 bpm;175 bpm
18 Déc.;58 bpm;130 bpm
17 Déc.;49 bpm;180 bpm
16 Déc.;50 bpm;184 bpm
15 Déc.;49 bpm;103 bpm
14 Déc.;50 bpm;148 bpm
13 Déc.;51 bpm;183 bpm
